mlcape,mlcin,srh01
638.000,-48.917,60.915
2144.333,-35.397,51.529
1877.333,-73.920,18.096
160.333,-102.405,-12.449
500.000,-0.806,38.910
367.500,-0.356,51.035
0.000,0.357,60.228
639.333,-8.881,71.484
231.333,-19.198,93.972
22.667,-67.554,122.052
1848.333,-23.930,6.753
841.667,-29.474,24.502
105.000,-143.206,35.091
547.000,-2.772,55.409
182.000,3.422,54.615
24.500,-66.823,36.360
1445.000,-10.029,75.401
1092.500,-81.605,83.444
161.500,-232.184,83.973
1362.500,3.120,74.660
1035.833,-92.038,65.745
221.667,-131.425,98.471
1643.000,-0.315,115.326
271.500,-4.859,133.147
218.000,-7.272,-8.946
735.000,-0.981,59.021
310.000,-61.513,86.870
65.000,-90.767,89.263
2291.333,-25.913,62.382
997.333,-84.653,74.642
487.333,-69.704,60.812
1883.000,-10.961,8.141
1824.000,-1.614,28.049
1306.333,-4.048,20.153
2475.333,-27.735,55.927
1438.000,-105.560,110.329
787.333,-191.543,189.103
920.000,0.086,125.741
670.000,0.278,159.682
370.000,-0.189,145.295
769.500,-9.663,17.606
1086.500,-6.848,22.221
459.500,-32.929,31.341
2580.333,-24.750,44.218
3173.000,-3.301,17.034
2068.000,-31.906,38.235
1807.167,0.152,76.559
356.167,-125.946,95.980
0.000,-0.179,55.952
0.000,0.397,13.846
0.000,0.440,7.047
0.000,0.302,-8.679
1826.667,-7.862,16.884
1994.333,-31.597,17.523
34.500,-158.026,28.454
2731.000,-12.594,37.106
2664.000,-16.535,7.938
1644.000,-148.066,9.685
1040.000,-5.939,63.792
346.667,-14.119,46.171
423.333,-12.816,47.822
1300.000,-11.343,53.606
407.000,-34.872,59.875
258.000,-33.386,65.777
3102.667,-1.480,91.807
1867.333,-8.384,100.015
261.333,-16.335,92.586
1369.000,0.143,22.476
1083.000,0.086,19.191
195.000,-7.704,9.629
5310.833,-3.829,57.570
5046.667,-4.748,35.539
3786.667,-18.767,62.215
4103.333,-24.959,-0.567
3394.667,-133.950,41.032
2624.000,-270.321,0.214
1111.667,-13.419,45.724
510.833,-14.621,40.514
91.667,-119.671,-7.600
2941.000,-5.593,37.579
2687.333,-4.202,37.990
1337.667,-16.780,17.306
2656.000,-0.563,13.803
2240.000,-12.516,38.539
1489.000,-95.506,83.258
1604.167,-3.362,26.214
1108.333,-16.135,26.893
1026.667,-48.155,18.136
2370.667,-0.627,15.995
1617.000,-6.986,14.843
266.500,-73.807,13.898
4384.333,-1.102,41.730
3174.333,-14.373,56.448
1586.167,-170.976,74.293
849.000,-6.120,43.413
602.500,-7.362,45.585
42.500,-42.422,70.382
1570.667,-6.168,144.661
1700.333,-0.196,118.102
361.333,-69.810,56.853
2710.000,-3.487,9.307
2642.000,-1.444,2.981
1586.000,-10.330,18.200
406.667,-7.699,38.836
73.333,-26.409,30.168
47.000,-30.211,71.529
180.000,-4.784,56.197
596.667,-7.523,40.409
816.667,-3.046,-5.381
774.500,-31.677,66.749
1092.000,-21.716,49.490
403.500,-59.267,23.811
1635.333,-9.439,61.203
1161.333,-20.203,48.501
289.333,-113.446,78.456
1946.667,-4.122,52.379
2120.833,-3.097,98.307
2500.833,-5.337,136.516
365.500,-0.453,35.394
224.500,-0.816,89.976
146.500,-27.098,107.807
54.167,-8.122,60.110
75.000,-6.872,73.411
58.333,-7.459,85.039
1680.000,0.363,99.056
1648.333,0.305,80.293
801.667,-28.737,85.903
839.333,-7.251,121.623
895.000,-15.497,119.563
203.000,-27.589,68.472
1180.000,-0.582,96.302
1014.000,-6.839,159.640
322.000,-125.791,295.011
1608.667,-4.416,135.242
1199.833,-20.054,113.127
690.333,-146.313,159.193
226.667,-3.875,163.193
121.667,-15.037,170.624
218.333,-0.111,102.871
10.000,-75.902,71.303
104.000,-33.299,96.871
78.500,-96.675,151.134
